TOWN_ID,TOWN,SUM_CENTERLINE_MILES,SUM_SIDEWALK_MILES,SUM_SIDEWALK_EITHER_MILES
2,ACTON,162.4877432,21.04132151,18.14857262
10,ARLINGTON,137.2560135,153.463474,83.85978533
14,ASHLAND,107.1961194,30.9068921,28.25342874
23,BEDFORD,108.9122405,43.20110139,36.79589669
25,BELLINGHAM,127.7305593,41.11614058,31.26709356
26,BELMONT,93.10742225,106.8587507,58.33503058
30,BEVERLY,177.7856789,168.9363723,98.30684937
34,BOLTON,84.4623107,2.513982486,2.087397429
35,BOSTON,1188.4,1513.45,822.1636403
37,BOXBOROUGH,52.29125671,6.7730986,6.7730986
40,BRAINTREE,184.4042687,136.9569736,82.49275238
46,BROOKLINE,128.4315132,167.7468824,96.58868351
48,BURLINGTON,146.427239,29.17050436,26.20560092
49,CAMBRIDGE,171.9786627,238.2874738,128.3948449
50,CANTON,144.7274451,48.85827058,41.34937483
51,CARLISLE,77.73596624,2.828010268,2.828010268
57,CHELSEA,57.23886247,77.9974657,42.7641844
65,COHASSET,72.74895914,12.01108891,10.09733381
67,CONCORD,155.157334,55.89466134,41.52745439
71,DANVERS,163.4544859,132.0832875,78.61494276
73,DEDHAM,128.5634088,97.47072541,65.53568036
78,DOVER,72.7597611,1.152091292,1.005804703
82,DUXBURY,175.933398,3.258631255,2.916256172
92,ESSEX,44.41308944,6.529684658,5.757500365
93,EVERETT,82.68590825,111.0936062,58.45852602
99,FOXBOROUGH,137.8826205,68.41867066,47.63834596
100,FRAMINGHAM,296.1095716,154.4680538,114.5749134
101,FRANKLIN,205.3955807,136.7279379,94.01363041
107,GLOUCESTER,205.6970373,65.73535154,43.17917289
119,HAMILTON,77.73576431,11.62109902,10.7573766
122,HANOVER,118.6628713,24.9106399,23.2019228
131,HINGHAM,201.3866986,55.24038411,49.08533003
133,HOLBROOK,59.26355801,44.6624869,25.38199112
136,HOLLISTON,111.350988,49.46173195,36.51072534
139,HOPKINTON,151.057894,47.14299717,45.54652059
141,HUDSON,120.2972239,71.76807993,42.84513631
142,HULL,63.94175741,30.03207844,21.57140774
144,IPSWICH,137.2671803,19.71141492,15.19960304
155,LEXINGTON,208.286905,74.5172425,59.5227676
157,LINCOLN,90.22299034,1.87801403,1.87801403
158,LITTLETON,113.0139393,13.77556376,13.77556376
163,LYNN,199.9537162,259.3750316,140.5134119
164,LYNNFIELD,84.68695467,91.06263944,54.57196393
165,MALDEN,125.2018008,170.7630941,90.34100821
166,MANCHESTER,53.68749203,17.77913494,12.69880285
168,MARBLEHEAD,92.82219673,73.63853325,43.3087107
170,MARLBOROUGH,218.0349429,138.0295831,83.68584928
171,MARSHFIELD,206.8519573,57.05282475,45.28350266
174,MAYNARD,60.36188001,24.03742596,15.30215402
175,MEDFIELD,98.02193593,56.20257298,33.03986104
176,MEDFORD,158.5616764,197.8977549,111.0842484
177,MEDWAY,93.65798882,30.45692119,26.7728801
178,MELROSE,88.99680801,106.3884627,58.27115382
184,MIDDLETON,74.07206799,19.05841998,16.73762916
185,MILFORD,149.1880591,78.01856468,55.43698805
187,MILLIS,66.35285223,26.12586914,17.79190338
189,MILTON,153.0645958,133.0737715,80.05356113
196,NAHANT,21.76774194,16.80940413,11.35279671
198,NATICK,184.6853801,141.5375912,89.91026024
199,NEEDHAM,154.3379039,185.6204431,106.0870686
207,NEWTON,355.2031412,455.4533392,257.5629945
208,NORFOLK,92.58003935,21.72800486,21.63626438
213,NORTH READING,100.3313957,69.04371133,40.61892206
219,NORWELL,109.6743402,8.087855523,7.326874754
220,NORWOOD,138.6352156,142.859661,80.34175663
229,PEABODY,231.6008201,235.3983255,125.2277505
231,PEMBROKE,140.3525586,37.50189543,32.85488146
243,QUINCY,263.1143733,343.6904913,188.4954515
244,RANDOLPH,136.443083,118.7992676,72.85459387
246,READING,112.5841239,82.27603363,48.82707389
248,REVERE,119.7167557,131.574133,77.32514376
251,ROCKLAND,83.60320954,60.56562033,42.92977757
252,ROCKPORT,65.02762475,13.69346027,9.934713152
258,SALEM,133.2301333,140.495796,78.93352806
262,SAUGUS,132.7040292,76.91335258,46.77361768
264,SCITUATE,144.4666813,32.48970703,30.22072095
266,SHARON,149.9020291,91.62287102,56.16414607
269,SHERBORN,66.3335433,11.81618116,11.7701036
274,SOMERVILLE,118.0028932,183.0252119,98.10444786
277,SOUTHBOROUGH,103.2709405,21.99029785,21.13599328
284,STONEHAM,91.87179656,79.02269115,46.07338117
285,STOUGHTON,157.7651947,51.34096974,45.51766027
286,STOW,79.98239076,7.619887646,7.619887646
288,SUDBURY,171.5843604,12.01928164,10.86568405
291,SWAMPSCOTT,55.03129066,66.54969308,36.38378723
298,TOPSFIELD,72.62461791,13.21693143,13.21693143
305,WAKEFIELD,112.8089547,112.8733523,65.26259798
307,WALPOLE,162.920937,95.3463136,74.32154468
308,WALTHAM,221.8099174,187.6763589,104.4183154
314,WATERTOWN,106.8781047,134.00334,71.36021578
315,WAYLAND,115.8170065,9.889087476,8.700177455
317,WELLESLEY,152.4306938,101.5213263,67.73696443
320,WENHAM,39.43352578,8.151327392,7.459044868
333,WESTON,133.0805198,23.26893184,21.13437894
335,WESTWOOD,108.1579979,35.69080124,32.35087191
336,WEYMOUTH,231.0369792,153.7981553,101.0580245
342,WILMINGTON,157.5867632,52.33549379,31.49810373
344,WINCHESTER,106.3713589,81.97434364,49.49637508
346,WINTHROP,44.97474778,64.19914687,35.48321834
347,WOBURN,182.0250895,126.9534631,77.89430923
350,WRENTHAM,114.8187903,24.95601616,22.69570775
